frame_id,filename,ts_iso,ts,width,height,leaf_coverage_pct,exg_mean,vari_mean,cive_mean,sharpness_laplacian,fruit_count,ripe,unripe,stains_area_pct,stains_method,malformed,frame_idx,ripe_pct
Mision_Prueba__photo_23_2025-11-11_22-53-05,photo_23_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,49.52262369791667,0.12350985407829285,-0.34449538588523865,18.74736785888672,6991.694225497436,80,0,80,4.987141927083333,lab_threshold_v0.1,266,18,0.0
Mision_Prueba__photo_24_2025-11-11_22-53-05,photo_24_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,67.71183268229166,0.1552431434392929,36.36936569213867,18.733327865600586,12455.62606756729,121,1,120,7.7412109375,lab_threshold_v0.1,334,19,0.8264462809917356
Mision_Prueba__photo_25_2025-11-11_22-53-05,photo_25_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,64.72867838541667,0.13506227731704712,109.95341491699219,18.740873336791992,14801.688090132599,104,2,102,6.222819010416667,lab_threshold_v0.1,263,20,1.9230769230769231
Mision_Prueba__photo_26_2025-11-11_22-53-05,photo_26_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,41.519287109375,0.12877638638019562,0.2834492325782776,18.74529266357422,7084.653545778322,98,0,98,4.201009114583333,lab_threshold_v0.1,177,21,0.0
Mision_Prueba__photo_27_2025-11-11_22-53-05,photo_27_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,61.760335286458336,0.16233596205711365,0.9935421943664551,18.731760025024414,7469.788152928541,103,0,103,7.004720052083333,lab_threshold_v0.1,184,22,0.0
Mision_Prueba__photo_28_2025-11-11_22-53-05,photo_28_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,61.684651692708336,0.13434448838233948,12.40684700012207,18.742984771728516,9036.842293813428,172,0,172,5.696533203125,lab_threshold_v0.1,273,23,0.0
Mision_Prueba__photo_29_2025-11-11_22-53-05,photo_29_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,60.4755859375,0.11928655207157135,78.49364471435547,18.74746322631836,17957.05210700931,63,0,63,4.667724609375,lab_threshold_v0.1,296,24,0.0
Mision_Prueba__photo_2_2025-11-11_22-53-05,photo_2_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,53.892578125,0.12196274846792221,11.799114227294922,18.746841430664062,4400.155345108095,107,0,107,6.144775390625,lab_threshold_v0.1,223,25,0.0
Mision_Prueba__photo_30_2025-11-11_22-53-05,photo_30_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,54.71712239583333,0.10495078563690186,64.70056915283203,18.75313377380371,15739.75850173194,55,0,55,4.653971354166667,lab_threshold_v0.1,238,26,0.0
Mision_Prueba__photo_31_2025-11-11_22-53-05,photo_31_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,57.244547526041664,0.14658485352993011,2.344198226928711,18.738134384155273,8815.903823092878,118,1,117,5.548828125,lab_threshold_v0.1,308,27,0.847457627118644
Mision_Prueba__photo_32_2025-11-11_22-53-05,photo_32_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,67.767578125,0.1458112597465515,15.153976440429688,18.737756729125977,21527.904261929107,66,0,66,5.40185546875,lab_threshold_v0.1,359,28,0.0
Mision_Prueba__photo_33_2025-11-11_22-53-05,photo_33_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,960,1280,26.120361328125004,0.060275375843048096,68.60091400146484,18.771385192871094,4484.906923890755,134,0,134,2.68115234375,lab_threshold_v0.1,107,29,0.0
Mision_Prueba__photo_34_2025-11-11_22-53-05,photo_34_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,25.344319661458332,0.05510536953806877,24.439184188842773,18.77471160888672,6106.000800519706,159,0,159,2.4716796875,lab_threshold_v0.1,83,30,0.0
Mision_Prueba__photo_35_2025-11-11_22-53-05,photo_35_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,13.576416015625,0.12197431176900864,7.380683422088623,18.747575759887695,3024.927203776336,226,0,226,0.5061848958333334,lab_threshold_v0.1,163,31,0.0
Mision_Prueba__photo_36_2025-11-11_22-53-05,photo_36_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,37.298909505208336,0.09050848335027695,18.651918411254883,18.759096145629883,10042.871737251524,103,0,103,3.1971028645833335,lab_threshold_v0.1,207,32,0.0
Mision_Prueba__photo_37_2025-11-11_22-53-05,photo_37_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,53.278157552083336,0.09969452023506165,25.03485107421875,18.75580596923828,11338.910880292242,81,0,81,6.355875651041667,lab_threshold_v0.1,241,33,0.0
Mision_Prueba__photo_38_2025-11-11_22-53-05,photo_38_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,40.400797526041664,0.0983816608786583,-2.303741931915283,18.756574630737305,12849.671190875222,208,0,208,4.138509114583333,lab_threshold_v0.1,195,34,0.0
Mision_Prueba__photo_39_2025-11-11_22-53-05,photo_39_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,8.410319010416668,0.09965913742780685,8.246722221374512,18.756376266479492,13602.101221969853,181,0,181,0.5677083333333334,lab_threshold_v0.1,97,35,0.0
Mision_Prueba__photo_3_2025-11-11_22-53-05,photo_3_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,56.252604166666664,0.16169172525405884,0.42176568508148193,18.732057571411133,5854.12230360921,103,0,103,6.187337239583333,lab_threshold_v0.1,183,36,0.0
Mision_Prueba__photo_40_2025-11-11_22-53-05,photo_40_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,32.928385416666664,0.06229521334171295,127.37881469726562,18.769914627075195,11256.434866796973,75,0,75,2.0877278645833335,lab_threshold_v0.1,130,37,0.0
